,rh_950mb,rh_900mb,rh_850mb,rh_800mb,rh_750mb,rh_700mb,rh_650mb,rh_600mb,rh_550mb,rh_500mb,rh_450mb,rh_400mb,rh_350mb,rh_300mb,rh_250mb,rh_200mb,wind_950mb,wind_900mb,wind_850mb,wind_800mb,wind_750mb,wind_700mb,wind_650mb,wind_600mb,wind_550mb,wind_500mb,wind_450mb,wind_400mb,wind_350mb,wind_300mb,wind_250mb,wind_200mb,index,timepoint,cloudcover,highcloud,midcloud,lowcloud,rh_profile,wind_profile,temp2m,lifted_index,rh2m,msl_pressure,prec_type,prec_amount,snow_depth,wind10m.direction,wind10m.speed,country
0,4,3,2,0,2,4,5,6,7,3,5,11,15,10,8,9,2,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,0,3,2,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 4}, {'layer': '900mb', 'rh': 3}, {'layer': '850mb', 'rh': 2}, {'layer': '800mb', 'rh': 0}, {'layer': '750mb', 'rh': 2}, {'layer': '700mb', 'rh': 4}, {'layer': '650mb', 'rh': 5}, {'layer': '600mb', 'rh': 6}, {'layer': '550mb', 'rh': 7}, {'layer': '500mb', 'rh': 3}, {'layer': '450mb', 'rh': 5}, {'layer': '400mb', 'rh': 11}, {'layer': '350mb', 'rh': 15}, {'layer': '300mb', 'rh': 10}, {'layer': '250mb', 'rh': 8}, {'layer': '200mb', 'rh': 9}]","[{'layer': '950mb', 'direction': 200, 'speed': 2}, {'layer': '900mb', 'direction': 175, 'speed': 3}, {'layer': '850mb', 'direction': 180, 'speed': 3}, {'layer': '800mb', 'direction': 190, 'speed': 3}, {'layer': '750mb', 'direction': 200, 'speed': 3}, {'layer': '700mb', 'direction': 230, 'speed': 3}, {'layer': '650mb', 'direction': 245, 'speed': 4}, {'layer': '600mb', 'direction': 255, 'speed': 5}, {'layer': '550mb', 'direction': 255, 'speed': 5}, {'layer': '500mb', 'direction': 255, 'speed': 5}, {'layer': '450mb', 'direction': 260, 'speed': 5}, {'layer': '400mb', 'direction': 250, 'speed': 5}, {'layer': '350mb', 'direction': 250, 'speed': 5}, {'layer': '300mb', 'direction': 230, 'speed': 5}, {'layer': '250mb', 'direction': 240, 'speed': 5}, {'layer': '200mb', 'direction': 230, 'speed': 5}]",22,2,8,1018,none,0,0,225,2,usa
1,5,3,2,0,3,4,4,7,11,2,0,11,13,13,7,8,2,3,4,4,3,3,3,4,5,5,4,5,5,5,5,5,1,6,2,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 5}, {'layer': '900mb', 'rh': 3}, {'layer': '850mb', 'rh': 2}, {'layer': '800mb', 'rh': 0}, {'layer': '750mb', 'rh': 3}, {'layer': '700mb', 'rh': 4}, {'layer': '650mb', 'rh': 4}, {'layer': '600mb', 'rh': 7}, {'layer': '550mb', 'rh': 11}, {'layer': '500mb', 'rh': 2}, {'layer': '450mb', 'rh': 0}, {'layer': '400mb', 'rh': 11}, {'layer': '350mb', 'rh': 13}, {'layer': '300mb', 'rh': 13}, {'layer': '250mb', 'rh': 7}, {'layer': '200mb', 'rh': 8}]","[{'layer': '950mb', 'direction': 185, 'speed': 2}, {'layer': '900mb', 'direction': 175, 'speed': 3}, {'layer': '850mb', 'direction': 175, 'speed': 4}, {'layer': '800mb', 'direction': 190, 'speed': 4}, {'layer': '750mb', 'direction': 200, 'speed': 3}, {'layer': '700mb', 'direction': 215, 'speed': 3}, {'layer': '650mb', 'direction': 250, 'speed': 3}, {'layer': '600mb', 'direction': 265, 'speed': 4}, {'layer': '550mb', 'direction': 265, 'speed': 5}, {'layer': '500mb', 'direction': 260, 'speed': 5}, {'layer': '450mb', 'direction': 260, 'speed': 4}, {'layer': '400mb', 'direction': 260, 'speed': 5}, {'layer': '350mb', 'direction': 260, 'speed': 5}, {'layer': '300mb', 'direction': 235, 'speed': 5}, {'layer': '250mb', 'direction': 245, 'speed': 5}, {'layer': '200mb', 'direction': 235, 'speed': 5}]",22,2,6,1021,none,0,0,250,2,usa
2,6,4,2,0,1,3,3,6,11,1,5,16,11,1,9,10,2,3,4,4,4,4,3,3,3,4,4,4,5,4,4,5,2,9,3,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 6}, {'layer': '900mb', 'rh': 4}, {'layer': '850mb', 'rh': 2}, {'layer': '800mb', 'rh': 0}, {'layer': '750mb', 'rh': 1}, {'layer': '700mb', 'rh': 3}, {'layer': '650mb', 'rh': 3}, {'layer': '600mb', 'rh': 6}, {'layer': '550mb', 'rh': 11}, {'layer': '500mb', 'rh': 1}, {'layer': '450mb', 'rh': 5}, {'layer': '400mb', 'rh': 16}, {'layer': '350mb', 'rh': 11}, {'layer': '300mb', 'rh': 1}, {'layer': '250mb', 'rh': 9}, {'layer': '200mb', 'rh': 10}]","[{'layer': '950mb', 'direction': 125, 'speed': 2}, {'layer': '900mb', 'direction': 170, 'speed': 3}, {'layer': '850mb', 'direction': 175, 'speed': 4}, {'layer': '800mb', 'direction': 185, 'speed': 4}, {'layer': '750mb', 'direction': 205, 'speed': 4}, {'layer': '700mb', 'direction': 220, 'speed': 4}, {'layer': '650mb', 'direction': 240, 'speed': 3}, {'layer': '600mb', 'direction': 255, 'speed': 3}, {'layer': '550mb', 'direction': 270, 'speed': 3}, {'layer': '500mb', 'direction': 275, 'speed': 4}, {'layer': '450mb', 'direction': 265, 'speed': 4}, {'layer': '400mb', 'direction': 255, 'speed': 4}, {'layer': '350mb', 'direction': 255, 'speed': 5}, {'layer': '300mb', 'direction': 255, 'speed': 4}, {'layer': '250mb', 'direction': 250, 'speed': 4}, {'layer': '200mb', 'direction': 245, 'speed': 5}]",23,2,4,1022,none,0,0,95,2,usa
3,6,4,1,-1,0,1,3,6,4,3,6,10,7,3,10,14,2,3,4,4,4,4,3,3,4,3,3,5,5,5,5,5,3,12,4,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 6}, {'layer': '900mb', 'rh': 4}, {'layer': '850mb', 'rh': 1}, {'layer': '800mb', 'rh': -1}, {'layer': '750mb', 'rh': 0}, {'layer': '700mb', 'rh': 1}, {'layer': '650mb', 'rh': 3}, {'layer': '600mb', 'rh': 6}, {'layer': '550mb', 'rh': 4}, {'layer': '500mb', 'rh': 3}, {'layer': '450mb', 'rh': 6}, {'layer': '400mb', 'rh': 10}, {'layer': '350mb', 'rh': 7}, {'layer': '300mb', 'rh': 3}, {'layer': '250mb', 'rh': 10}, {'layer': '200mb', 'rh': 14}]","[{'layer': '950mb', 'direction': 135, 'speed': 2}, {'layer': '900mb', 'direction': 170, 'speed': 3}, {'layer': '850mb', 'direction': 180, 'speed': 4}, {'layer': '800mb', 'direction': 195, 'speed': 4}, {'layer': '750mb', 'direction': 215, 'speed': 4}, {'layer': '700mb', 'direction': 220, 'speed': 4}, {'layer': '650mb', 'direction': 230, 'speed': 3}, {'layer': '600mb', 'direction': 250, 'speed': 3}, {'layer': '550mb', 'direction': 285, 'speed': 4}, {'layer': '500mb', 'direction': 290, 'speed': 3}, {'layer': '450mb', 'direction': 245, 'speed': 3}, {'layer': '400mb', 'direction': 245, 'speed': 5}, {'layer': '350mb', 'direction': 245, 'speed': 5}, {'layer': '300mb', 'direction': 255, 'speed': 5}, {'layer': '250mb', 'direction': 250, 'speed': 5}, {'layer': '200mb', 'direction': 255, 'speed': 5}]",23,-1,4,1022,none,0,0,110,2,usa
4,6,3,1,-1,0,1,3,6,9,5,6,12,4,5,7,11,2,3,3,4,4,4,4,3,3,3,4,5,5,4,4,5,4,15,3,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 6}, {'layer': '900mb', 'rh': 3}, {'layer': '850mb', 'rh': 1}, {'layer': '800mb', 'rh': -1}, {'layer': '750mb', 'rh': 0}, {'layer': '700mb', 'rh': 1}, {'layer': '650mb', 'rh': 3}, {'layer': '600mb', 'rh': 6}, {'layer': '550mb', 'rh': 9}, {'layer': '500mb', 'rh': 5}, {'layer': '450mb', 'rh': 6}, {'layer': '400mb', 'rh': 12}, {'layer': '350mb', 'rh': 4}, {'layer': '300mb', 'rh': 5}, {'layer': '250mb', 'rh': 7}, {'layer': '200mb', 'rh': 11}]","[{'layer': '950mb', 'direction': 130, 'speed': 2}, {'layer': '900mb', 'direction': 160, 'speed': 3}, {'layer': '850mb', 'direction': 175, 'speed': 3}, {'layer': '800mb', 'direction': 190, 'speed': 4}, {'layer': '750mb', 'direction': 210, 'speed': 4}, {'layer': '700mb', 'direction': 225, 'speed': 4}, {'layer': '650mb', 'direction': 225, 'speed': 4}, {'layer': '600mb', 'direction': 235, 'speed': 3}, {'layer': '550mb', 'direction': 260, 'speed': 3}, {'layer': '500mb', 'direction': 280, 'speed': 3}, {'layer': '450mb', 'direction': 235, 'speed': 4}, {'layer': '400mb', 'direction': 250, 'speed': 5}, {'layer': '350mb', 'direction': 260, 'speed': 5}, {'layer': '300mb', 'direction': 270, 'speed': 4}, {'layer': '250mb', 'direction': 290, 'speed': 4}, {'layer': '200mb', 'direction': 270, 'speed': 5}]",22,-1,5,1022,none,0,0,120,2,usa
5,5,3,1,-2,0,1,3,4,4,4,4,10,4,4,6,11,2,3,3,4,4,4,4,4,3,3,3,5,4,3,4,5,5,18,2,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 5}, {'layer': '900mb', 'rh': 3}, {'layer': '850mb', 'rh': 1}, {'layer': '800mb', 'rh': -2}, {'layer': '750mb', 'rh': 0}, {'layer': '700mb', 'rh': 1}, {'layer': '650mb', 'rh': 3}, {'layer': '600mb', 'rh': 4}, {'layer': '550mb', 'rh': 4}, {'layer': '500mb', 'rh': 4}, {'layer': '450mb', 'rh': 4}, {'layer': '400mb', 'rh': 10}, {'layer': '350mb', 'rh': 4}, {'layer': '300mb', 'rh': 4}, {'layer': '250mb', 'rh': 6}, {'layer': '200mb', 'rh': 11}]","[{'layer': '950mb', 'direction': 150, 'speed': 2}, {'layer': '900mb', 'direction': 155, 'speed': 3}, {'layer': '850mb', 'direction': 170, 'speed': 3}, {'layer': '800mb', 'direction': 185, 'speed': 4}, {'layer': '750mb', 'direction': 205, 'speed': 4}, {'layer': '700mb', 'direction': 215, 'speed': 4}, {'layer': '650mb', 'direction': 215, 'speed': 4}, {'layer': '600mb', 'direction': 235, 'speed': 4}, {'layer': '550mb', 'direction': 235, 'speed': 3}, {'layer': '500mb', 'direction': 230, 'speed': 3}, {'layer': '450mb', 'direction': 235, 'speed': 3}, {'layer': '400mb', 'direction': 255, 'speed': 5}, {'layer': '350mb', 'direction': 265, 'speed': 4}, {'layer': '300mb', 'direction': 270, 'speed': 3}, {'layer': '250mb', 'direction': 295, 'speed': 4}, {'layer': '200mb', 'direction': 285, 'speed': 5}]",22,2,4,1021,none,0,0,155,2,usa
6,4,2,0,-1,0,0,1,4,5,3,2,7,7,6,16,15,2,3,4,5,4,3,3,3,3,3,3,4,5,4,3,5,6,21,5,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 4}, {'layer': '900mb', 'rh': 2}, {'layer': '850mb', 'rh': 0}, {'layer': '800mb', 'rh': -1}, {'layer': '750mb', 'rh': 0}, {'layer': '700mb', 'rh': 0}, {'layer': '650mb', 'rh': 1}, {'layer': '600mb', 'rh': 4}, {'layer': '550mb', 'rh': 5}, {'layer': '500mb', 'rh': 3}, {'layer': '450mb', 'rh': 2}, {'layer': '400mb', 'rh': 7}, {'layer': '350mb', 'rh': 7}, {'layer': '300mb', 'rh': 6}, {'layer': '250mb', 'rh': 16}, {'layer': '200mb', 'rh': 15}]","[{'layer': '950mb', 'direction': 170, 'speed': 2}, {'layer': '900mb', 'direction': 160, 'speed': 3}, {'layer': '850mb', 'direction': 165, 'speed': 4}, {'layer': '800mb', 'direction': 185, 'speed': 5}, {'layer': '750mb', 'direction': 205, 'speed': 4}, {'layer': '700mb', 'direction': 215, 'speed': 3}, {'layer': '650mb', 'direction': 215, 'speed': 3}, {'layer': '600mb', 'direction': 235, 'speed': 3}, {'layer': '550mb', 'direction': 235, 'speed': 3}, {'layer': '500mb', 'direction': 225, 'speed': 3}, {'layer': '450mb', 'direction': 240, 'speed': 3}, {'layer': '400mb', 'direction': 255, 'speed': 4}, {'layer': '350mb', 'direction': 265, 'speed': 5}, {'layer': '300mb', 'direction': 255, 'speed': 4}, {'layer': '250mb', 'direction': 280, 'speed': 3}, {'layer': '200mb', 'direction': 285, 'speed': 5}]",23,2,5,1023,none,0,0,195,2,usa
7,4,1,0,-1,0,1,2,4,7,7,5,4,11,14,16,16,2,3,4,5,4,3,4,4,4,3,4,5,5,4,3,4,7,24,7,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 4}, {'layer': '900mb', 'rh': 1}, {'layer': '850mb', 'rh': 0}, {'layer': '800mb', 'rh': -1}, {'layer': '750mb', 'rh': 0}, {'layer': '700mb', 'rh': 1}, {'layer': '650mb', 'rh': 2}, {'layer': '600mb', 'rh': 4}, {'layer': '550mb', 'rh': 7}, {'layer': '500mb', 'rh': 7}, {'layer': '450mb', 'rh': 5}, {'layer': '400mb', 'rh': 4}, {'layer': '350mb', 'rh': 11}, {'layer': '300mb', 'rh': 14}, {'layer': '250mb', 'rh': 16}, {'layer': '200mb', 'rh': 16}]","[{'layer': '950mb', 'direction': 115, 'speed': 2}, {'layer': '900mb', 'direction': 155, 'speed': 3}, {'layer': '850mb', 'direction': 165, 'speed': 4}, {'layer': '800mb', 'direction': 190, 'speed': 5}, {'layer': '750mb', 'direction': 220, 'speed': 4}, {'layer': '700mb', 'direction': 220, 'speed': 3}, {'layer': '650mb', 'direction': 225, 'speed': 4}, {'layer': '600mb', 'direction': 225, 'speed': 4}, {'layer': '550mb', 'direction': 230, 'speed': 4}, {'layer': '500mb', 'direction': 235, 'speed': 3}, {'layer': '450mb', 'direction': 240, 'speed': 4}, {'layer': '400mb', 'direction': 255, 'speed': 5}, {'layer': '350mb', 'direction': 260, 'speed': 5}, {'layer': '300mb', 'direction': 280, 'speed': 4}, {'layer': '250mb', 'direction': 310, 'speed': 3}, {'layer': '200mb', 'direction': 280, 'speed': 4}]",23,2,6,1023,none,0,0,60,2,usa
8,4,2,0,0,0,0,1,4,9,3,4,7,7,8,6,15,2,3,4,5,4,3,3,4,4,5,3,4,4,3,3,4,8,27,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 4}, {'layer': '900mb', 'rh': 2}, {'layer': '850mb', 'rh': 0}, {'layer': '800mb', 'rh': 0}, {'layer': '750mb', 'rh': 0}, {'layer': '700mb', 'rh': 0}, {'layer': '650mb', 'rh': 1}, {'layer': '600mb', 'rh': 4}, {'layer': '550mb', 'rh': 9}, {'layer': '500mb', 'rh': 3}, {'layer': '450mb', 'rh': 4}, {'layer': '400mb', 'rh': 7}, {'layer': '350mb', 'rh': 7}, {'layer': '300mb', 'rh': 8}, {'layer': '250mb', 'rh': 6}, {'layer': '200mb', 'rh': 15}]","[{'layer': '950mb', 'direction': 120, 'speed': 2}, {'layer': '900mb', 'direction': 165, 'speed': 3}, {'layer': '850mb', 'direction': 170, 'speed': 4}, {'layer': '800mb', 'direction': 185, 'speed': 5}, {'layer': '750mb', 'direction': 210, 'speed': 4}, {'layer': '700mb', 'direction': 235, 'speed': 3}, {'layer': '650mb', 'direction': 225, 'speed': 3}, {'layer': '600mb', 'direction': 220, 'speed': 4}, {'layer': '550mb', 'direction': 220, 'speed': 4}, {'layer': '500mb', 'direction': 245, 'speed': 5}, {'layer': '450mb', 'direction': 260, 'speed': 3}, {'layer': '400mb', 'direction': 265, 'speed': 4}, {'layer': '350mb', 'direction': 265, 'speed': 4}, {'layer': '300mb', 'direction': 275, 'speed': 3}, {'layer': '250mb', 'direction': 290, 'speed': 3}, {'layer': '200mb', 'direction': 315, 'speed': 4}]",22,2,8,1023,none,0,0,50,2,usa
9,5,2,0,0,-1,0,2,5,5,4,4,8,6,14,8,15,2,3,4,5,4,4,4,4,5,4,3,3,4,3,3,4,9,30,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 5}, {'layer': '900mb', 'rh': 2}, {'layer': '850mb', 'rh': 0}, {'layer': '800mb', 'rh': 0}, {'layer': '750mb', 'rh': -1}, {'layer': '700mb', 'rh': 0}, {'layer': '650mb', 'rh': 2}, {'layer': '600mb', 'rh': 5}, {'layer': '550mb', 'rh': 5}, {'layer': '500mb', 'rh': 4}, {'layer': '450mb', 'rh': 4}, {'layer': '400mb', 'rh': 8}, {'layer': '350mb', 'rh': 6}, {'layer': '300mb', 'rh': 14}, {'layer': '250mb', 'rh': 8}, {'layer': '200mb', 'rh': 15}]","[{'layer': '950mb', 'direction': 85, 'speed': 2}, {'layer': '900mb', 'direction': 150, 'speed': 3}, {'layer': '850mb', 'direction': 165, 'speed': 4}, {'layer': '800mb', 'direction': 185, 'speed': 5}, {'layer': '750mb', 'direction': 205, 'speed': 4}, {'layer': '700mb', 'direction': 220, 'speed': 4}, {'layer': '650mb', 'direction': 230, 'speed': 4}, {'layer': '600mb', 'direction': 230, 'speed': 4}, {'layer': '550mb', 'direction': 265, 'speed': 5}, {'layer': '500mb', 'direction': 285, 'speed': 4}, {'layer': '450mb', 'direction': 265, 'speed': 3}, {'layer': '400mb', 'direction': 260, 'speed': 3}, {'layer': '350mb', 'direction': 260, 'speed': 4}, {'layer': '300mb', 'direction': 280, 'speed': 3}, {'layer': '250mb', 'direction': 265, 'speed': 3}, {'layer': '200mb', 'direction': 295, 'speed': 4}]",22,2,8,1024,none,0,0,55,2,usa
